id,"Scientific Name","Common Name",CurrentDistribution,Family,"Federal Listing Status",image,photo_credit
11,"Chlidonias niger","Black tern","CA, CO, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NV, NY, OH, OR, SD, UT, WA, WI, WY;",Laridae,"Not Listed",https://live.staticflickr.com/65535/53416502743_bc124f1330_b.jpg,https://en.wikipedia.org/wiki/Black_tern#/media/File:%C4%8Cor%C3%ADk_%C4%8Dierny_(Chlidonias_niger)_a_(4644831482).jpg
12,"Faxonius marchandi","Mammoth Spring crayfish","AR, MO;",Cambaridae,"Not Listed",https://live.staticflickr.com/65535/53416771605_912489f003_k.jpg,https://www.joelsartore.com/inv002-00229/
13,"Faxonius quadruncus","St. Francis River Crayfish",MO;,Cambaridae,Threatened,https://live.staticflickr.com/65535/53416335531_2528d69469_t.jpg,https://www.fws.gov/taxonomic-tree/48924
14,"Felis concolor schorgeri","Wisconsin puma","IA, IL, KS, MN, MO, WI;",Felidae,"Not Listed",https://live.staticflickr.com/65535/53416335546_51089eafa9_b.jpg,https://en.wikipedia.org/wiki/North_American_cougar#/media/File:Cougar_-_panoramio_(2).jpg
15,"Fundulus sciadicus","Plains topminnow","CO, IA, KS, MN, MO, NE, OK, SD, WY;",Cyprinodontidae,"Not Listed",https://live.staticflickr.com/65535/53416658374_1e270715d9.jpg,https://en.wikipedia.org/wiki/Plains_topminnow#/media/File:Plains_Topminnow_-_Fundulus_sciadicus.jpg
16,"Fusconaia subrotunda",Longsolid,"AL, GA, IL, IN, KY, MO, MS, NC, NY, OH, PA, SC, TN, VA, WV;",Unionidae,Threatened,https://live.staticflickr.com/65535/53416502678_b60eb21bfc_b.jp,https://en.wikipedia.org/wiki/Fusconaia_subrotunda#/media/File:Fusconaia_subrotunda.jpg
17,"Graptemys pseudogeographica","False map turtle","IN, MN, MO, ND, WI;",Emydidae,"Not Listed",https://live.staticflickr.com/65535/53416771715_caa64f1444_c.jpg,https://calphotos.berkeley.edu/cgi/img_query?enlarge=0000+0000+1208+3545
18,"Gryllotalpa major","Prairie mole cricket","AR, IL, KS, MO, MS, OK;",Gryllidae,"Not Listed",https://live.staticflickr.com/65535/53416335671_e49fb40c5b.jpg,https://bugguide.net/node/view/622682
19,"Histrionicus histrionicus","Harlequin duck","AK, AR, AZ, CA, CO, CT, DE, IA, ID, KS, MA, MD, ME, MN, MO, MT, NE, NH, NJ, NM, NV, OK, OR, RI, SD, TX, UT, WA, WY;",Anatidae,"Not Listed",https://live.staticflickr.com/65535/53416335526_21c74d6279_b.jpg,https://en.wikipedia.org/wiki/Harlequin_duck#/media/File:Histrionicus_histrionicus_drake_Barnegat.jpg
20,"Kinosternon flavescens flavescens","Yellow mud turtle","IA, IL, MO, NE;",Kinosternidae,"Not Listed",https://live.staticflickr.com/65535/53415416567_be55e06e81_c.jpg,https://iucn-tftsg.org/kinosternon-flavescens-121/
21,"Lordithon niger","Black lordithon rove beetle","AR, CT, DC, GA, IL, KY, MI, MO, NC, NY, OH, PA, TX, VA, WV; Possibly extinct,not reported since 1965",Staphylinidae,"Not Listed",https://live.staticflickr.com/65535/53416335491_9e15e8f918_b.jpg,https://www.inaturalist.org/observations/15206666
22,"Lytrosis permagnaria","[Unnamed] looper moth","GA, KY, MO, MS, TN;",Geometridae,"Not Listed",https://live.staticflickr.com/65535/53415416642_434eba46cb.jpg,https://bugguide.net/node/view/1369850
23,"Macrochelys temminckii","Alligator snapping turtle","AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, OK, TN, TX;",Chelydridae,"Proposed Threatened",https://live.staticflickr.com/65535/53416771570_f32c74c38b_b.jpg,https://en.wikipedia.org/wiki/Alligator_snapping_turtle#/media/File:Alligator_snapping_turtle.jpg
24,"Nicrophorus americanus","American burying beetle","MO; U.S.A. (eastern States south to FL, west to SD and TX), eastern Canada",Silphidae,"Experimental Population, Non-Essential",https://live.staticflickr.com/65535/53416335481_38f0b051d0_c.jpg,https://en.wikipedia.org/wiki/Nicrophorus_americanus#/media/File:Nicrophorus_americanus
25,"Odocoileus virginianus","White-tail deer","IL, IN, IA, MA, MI, MN, MO, MS, ND, NJ, NY, OH, WI, ",Cervidae,"Not Listed",https://live.staticflickr.com/65535/53416335496_46da7894fd_b.jpg,https://en.wikipedia.org/wiki/White-tailed_deer#/media/File:White-tailed_deer_(Odocoileus_virginianus_nelsoni)_female_with_fawns_Orange_Walk.jpg
26,"Ophiogomphus westfalli","Ozark snaketail","AR, KS, MO;",Gomphiidae,"Not Listed",https://live.staticflickr.com/65535/53416335466_7749bc9bee_b.jpg,"https://en.wikipedia.org/wiki/Ophiogomphus_westfalli#/media/File:Westfall's_Clubtail_-_Ophiogomphus_westfalli,_Blackwater_Wildlife_Management_Area,_Holt,_Florida_-_Flickr_-_Judy_Gallagher.jpg"
27,"Pseudacris illinoensis","Illinois chorus frog","AR, IL, MO;",Hylidae,"Not Listed",https://live.staticflickr.com/65535/53415416542_7dea5f58de_z.jpg,https://en.wikipedia.org/wiki/Illinois_chorus_frog#/media/File:Pseudacris_streckeri_illinoensis.jpg
28,"Regina septemvittata","Queen snake","AR, MO;",Colubridae,"Not Listed",https://live.staticflickr.com/65535/53416658494_fd0d3242f9.jpg,https://en.wikipedia.org/wiki/Queen_snake#/media/File:Regina_septemvittataPCCA20060513-3674B.jpg
29,"Sciurus carolinensis","Eastern gray squirrel","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Sciuridae,"Not Listed",https://live.staticflickr.com/65535/53416658329_77ec0c4581_c.jpg,https://en.wikipedia.org/wiki/Eastern_gray_squirrel#/media/File:EasternGraySquirrel_GAm.jpg
30,"Somatochlora hineana","Hine's emerald dragonfly","IL, MI, MO, WI; U.S.A. (WI, OH, MO, MI, IN, IL, AL)",Corduliidae,Endangered,https://live.staticflickr.com/65535/53416502613_bc8e9a8cda_b.jpg,https://en.wikipedia.org/wiki/Hine%27s_emerald#/media/File:Hine's_Emerald_Dragonfly_(41092633930).jpg
31,"Somatochlora ozarkensis","Ozark emerald","AR, KS, MO, OK;",Corduliidae,"Not Listed",https://live.staticflickr.com/65535/53416335441_48068d3ab7_c.jpg,http://www.thehibbitts.net/troy/photo/odonata/ozark.emerald.s.ozarkensis.ok.leflore.16.4.0093.jpg
32,"Speyeria diana","Diana fritillary","AR, GA, IL, IN, LA, MD, MO, MS, NC, OH, PA, SC, TN, VA, WV;",Nymphalidae,"Not Listed",https://live.staticflickr.com/65535/53415416512_7d137dd2d8_b.jpg,https://en.wikipedia.org/wiki/Diana_fritillary#/media/File:Male_Diana_Fritillary_Megan_McCarty27.jpg
33,"Speyeria idalia","Regal fritillary","AR, CO, IA, IL, IN, KS, MN, MO, MT, ND, NE, OK, PA, SD, WI, WY;",Nymphalidae,"Under Review in the Candidate or Petition Process",https://live.staticflickr.com/65535/53416658284_1133be72d4_b.jpg,https://commons.wikimedia.org/wiki/Category:Speyeria_idalia#/media/File:Speyeria_idalia1.jpg
34,"Spilogale interrupta","Plains Spotted Skunk","AR, IA, KS, MN, MO, MT, ND, NE, OK, SD, TX, WY;",Mustelidae,"Not Listed",https://live.staticflickr.com/65535/53415416517_712501ad5e_k.jpg,https://www.dnazoo.org/copy-of-assemblies/spilogale_interrupta
35,"Sternula antillarum","Least tern","AR, CO, IA, IL, IN, KS, KY, LA, MO, MS, MT, ND, NE, NM, OK, SD, TN, TX;",Laridae,Recovery,https://live.staticflickr.com/65535/53416502588_dd1ba38076_b.jpg,https://en.wikipedia.org/wiki/Least_tern#/media/File:Least_Tern_(Sternula_antillarum)_RWD1.jpg
36,"Sylvilagus floridanus","Eastern cottontail","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Leporidae,"Not Listed",https://live.staticflickr.com/65535/53416771505_f459ace2b8_c.jpg,https://en.wikipedia.org/wiki/Eastern_cottontail#/media/File:Eastern_Cottontail.JPG
37,"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","AR, MO, OK; Entire",Vespertilionidae,Endangered,https://live.staticflickr.com/65535/53416658464_a4e200f667_c.jpg,https://www.earth.com/endangered-species/corynorhinus-plecotus-townsendii-virginianus/
38,"Cottus sp.","Bluestone sculpin",MO;,Cottidae,"Not Listed",https://live.staticflickr.com/65535/53416502738_4560ec297f_w.jpg,https://vtichthyology.blogspot.com/2017/10/endemic-fishes-of-new-river-by-don-orth.html
39,"Cottus specus","Grotto Sculpin",MO;,Cottidae,Endangered,https://live.staticflickr.com/65535/53416502733_a1d677d5b4_c.jpg,https://www.earth.com/endangered-species/cottus-specus/
40,"Cyanocitta cristata","Blue jay","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Corvidae,"Not Listed",https://live.staticflickr.com/65535/53416658449_8ba00961a1_b.jpg,https://en.wikipedia.org/wiki/Blue_jay#/media/File:Blue_jay_in_PP_(30960).jpg
41,"Cyprogenia aberti","Western fanshell","AR, KS, MO, OK;",Unionidae,Threatened,https://live.staticflickr.com/65535/53416658444_ca632825a6_m.jpg,https://ksoutdoors.com/Services/Threatened-and-Endangered-Wildlife/All-Threatened-and-Endangered-Species/WESTERN-FANSHELL-MUSSEL
42,"Danaus plexippus","Monarch butterfly","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Nymphalidae,Candidate,https://live.staticflickr.com/65535/53416658409_c8f83ccf47_b.jpg,https://en.wikipedia.org/wiki/Monarch_butterfly#/media/File:Monarch_In_May.jpg
43,"Deirochelys reticularia ssp. miaria","Western Chicken turtle","AR, MO, MS, TX;",Emydidae,"Under Review in the Candidate or Petition Process",https://live.staticflickr.com/65535/53416771640_f1ee98a244_b.jpg,https://en.wikipedia.org/wiki/Deirochelys#/media/File:Deirochelys_reticularia_2008-11-02_289.jpg
44,"Dendroica cerulea","Cerulean warbler","AL, AR, CT, DE, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, TN, TX, VA, VT, WI, WV;",Parulidae,"Not Listed",https://live.staticflickr.com/65535/53416335681_e195afc59a_b.jpg,https://michigannature.files.wordpress.com/2013/10/dendroica-cerulea-002.jpg
45,"Dryobius sexnotatus","Sixbanded long-horned beetle","AL, AR, IN, KS, KY, LA, MD, MI, MO, MS, OH, PA, TN, VA, WV;",Cerambycidae,"Not Listed",https://live.staticflickr.com/65535/53416335576_4064cb4d6f.jpg,https://bugguide.net/node/view/2138164
46,"Echinargus isola","Reakirt's blue butterfly","AR, AZ, CA, CO, IA, KS, LA, MN, MO, MT, NM, NV, OK, SD, TX, UT, WY;",Lycaenidae,"Not Listed",https://live.staticflickr.com/65535/53416658399_b4e2177b63_b.jpg,https://en.wikipedia.org/wiki/Echinargus_isola#/media/File:Reakirt's_Blue_(36301977103).jpg
47,"Epioblasma florentina curtisii","Curtis pearlymussel","AR, MO; U.S.A. (MO, AR)",Unionidae,Endangered,https://live.staticflickr.com/65535/53416335581_8fb46ff1e6_b.jpg,https://en.wikipedia.org/wiki/Epioblasma#/media/File:Epioblasma_brevidens.jpg
48,"Erimystax harryi","Ozark chub","AR, MO;",Cyprinidae,"Not Listed",https://live.staticflickr.com/65535/53416658549_ca9484ec3b_k.jpg,https://gallery.nanfa.org/v/members/Uland/Family+Cyprinidae/Erimystax/Erimystax+harryi+Ozark+Chub+2858+1_1.JPG.html?g2_imageViewsIndex=2
49,"Etheostoma cragini","Arkansas darter","AR, CO, KS, MO, OK;",Percidae,"Not Listed",https://live.staticflickr.com/65535/53416502833_e9f4f0f8ed_b.jpg,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=810
50,"Etheostoma nianguae","Niangua darter","MO; U.S.A. (MO)",Percidae,Threatened,https://live.staticflickr.com/65535/53416502688_95ee98ac67_c.jpg,https://www.earth.com/endangered-species/etheostoma-nianguae/
